vote,age,economic.cond.national,economic.cond.household,Blair,Hague,Europe,political.knowledge,gender
1,43,3,3,4,1,2,2,0
1,36,4,4,4,4,5,2,1
1,35,4,4,5,2,3,2,1
1,24,4,2,2,1,4,0,0
1,41,2,2,1,1,6,2,1
1,47,3,4,4,4,4,2,1
1,57,2,2,4,4,11,2,1
1,77,3,4,4,1,1,0,1
1,39,3,3,4,4,11,0,0
1,70,3,2,5,1,11,2,1
1,39,3,3,1,2,7,0,0
1,66,4,3,4,4,9,2,1
1,59,4,4,4,1,10,2,0
1,66,3,3,2,5,8,0,0
1,77,2,3,2,1,11,2,0
1,51,4,4,4,4,5,0,1
1,43,2,4,1,4,8,0,0
1,41,4,4,5,4,7,2,0
1,79,3,3,4,2,1,0,1
1,37,3,1,1,1,5,2,0
1,38,3,3,4,4,7,0,1
1,53,2,1,2,4,5,2,1
1,59,3,3,4,2,1,2,1
0,44,2,4,4,4,9,2,1
0,60,3,2,4,4,2,2,0
1,51,3,3,4,3,6,0,0
0,56,2,2,2,4,9,2,0
1,51,3,2,4,2,2,2,0
1,44,3,3,4,2,1,2,1
1,61,4,3,5,1,1,2,1
1,55,3,3,4,4,6,2,0
1,66,3,2,2,2,6,0,1
1,59,3,3,2,2,1,2,0
1,62,4,3,4,2,1,2,1
0,76,3,4,4,4,3,2,0
1,41,3,1,4,4,6,3,0
1,27,2,2,2,2,7,0,0
1,52,4,3,4,4,3,2,1
1,48,3,3,4,4,11,0,0
0,72,1,3,2,2,11,2,0
1,42,4,4,4,2,6,0,0
1,48,3,2,4,2,4,0,0
1,66,1,1,4,2,8,0,0
1,52,3,3,4,1,1,2,0
1,37,4,3,4,2,4,2,1
0,52,2,2,4,4,6,3,0
1,54,2,3,4,2,7,2,0
0,50,2,2,1,4,10,2,1
1,46,4,3,4,4,4,3,1
1,62,5,3,5,1,1,2,1
1,61,3,3,4,4,4,2,1
1,33,2,3,4,4,9,0,1
1,51,4,3,5,4,1,2,1
1,59,4,4,4,5,11,0,0
1,58,4,4,5,1,1,0,0
1,64,4,3,4,4,4,0,1
1,42,3,4,4,1,4,3,1
1,32,1,2,1,4,1,2,1
0,62,5,3,4,5,9,0,1
1,71,2,3,5,2,6,2,0
1,37,3,3,4,2,8,0,0
1,61,5,4,4,1,11,2,1
1,28,4,1,4,2,6,2,0
1,41,3,3,4,4,7,0,0
1,77,3,3,4,3,6,2,1
1,34,3,4,4,4,8,0,0
1,72,4,4,4,4,11,2,0
1,68,4,4,4,2,11,0,0
1,67,4,3,2,1,6,2,1
1,64,4,4,4,2,2,3,0
1,39,4,3,4,2,5,0,1
0,88,3,3,4,4,11,0,0
1,40,4,4,4,1,4,3,1
1,43,4,3,4,2,6,2,1
1,53,4,4,4,2,5,3,1
1,42,4,3,4,2,4,2,0
1,38,3,3,4,4,4,2,1
1,66,2,1,4,2,6,0,0
1,76,4,3,4,2,3,2,0
1,44,2,2,4,2,8,0,0
1,43,2,4,2,4,5,0,0
0,78,3,3,4,4,11,0,0
1,47,3,4,4,4,3,0,0
1,65,2,2,4,2,5,2,0
1,74,4,3,4,2,3,2,1
0,53,3,4,2,2,6,0,0
1,28,2,3,4,4,11,2,0
1,56,2,2,4,1,4,2,0
1,82,4,4,4,1,5,3,1
1,55,3,3,4,1,4,2,1
0,49,1,1,2,4,8,3,0
0,77,3,4,4,4,8,3,1
1,84,5,5,5,2,1,0,1
1,65,3,3,4,2,6,0,0
1,81,4,4,5,1,5,3,0
1,41,3,3,4,4,5,2,0
1,45,3,2,2,2,10,0,1
1,74,3,4,2,4,1,0,1
1,67,3,4,5,1,11,0,1
1,40,4,4,4,2,6,0,1
1,71,3,4,4,2,3,2,1
1,49,3,3,4,2,6,2,0
0,70,2,3,2,4,8,2,0
1,61,2,2,4,2,7,2,1
1,60,1,3,1,4,8,0,0
1,67,4,3,4,2,4,0,1
1,76,3,3,5,1,1,2,1
1,69,3,2,4,4,9,0,0
1,31,1,1,2,4,11,0,1
1,47,3,3,4,1,4,2,1
1,62,3,3,2,2,3,0,1
1,56,3,3,4,4,8,0,0
0,66,3,2,2,3,2,0,0
1,62,3,3,4,2,5,2,0
1,63,4,4,5,4,11,3,0
1,48,4,3,4,2,6,0,1
1,64,4,4,4,2,8,2,0
1,89,4,3,4,4,4,2,0
1,68,4,3,4,2,11,0,0
0,81,2,4,2,1,8,0,1
1,74,3,2,4,2,1,2,1
1,83,4,2,5,1,5,0,0
1,57,4,4,4,2,11,2,0
1,70,4,3,4,2,6,2,1
0,79,3,3,2,2,9,2,0
1,46,4,3,4,4,2,2,1
1,41,4,4,4,2,3,2,1
1,53,4,3,4,4,7,0,0
1,29,3,4,2,4,4,0,0
1,44,3,2,4,4,7,3,0
0,92,3,3,4,4,8,2,0
0,73,2,2,4,4,7,2,0
0,58,2,3,2,4,5,2,1
1,60,4,3,2,3,6,2,1
0,73,3,3,2,4,6,0,1
0,76,4,3,4,5,3,0,0
1,55,4,4,4,4,6,2,0
0,49,3,3,2,5,10,3,1
1,66,3,3,2,4,1,0,0
1,35,4,3,4,2,4,3,1
1,62,4,3,5,2,1,2,0
1,61,4,2,4,3,3,0,1
1,34,2,4,4,1,6,0,0
1,79,3,3,2,2,1,2,0
1,39,4,2,4,4,6,0,0
1,69,3,2,4,2,8,2,0
1,61,4,4,4,2,6,0,0
1,50,3,3,5,2,6,0,1
1,33,2,3,4,4,3,2,0
1,33,3,3,4,2,6,2,0
0,65,4,2,1,4,11,2,0
1,49,3,3,2,2,6,2,0
1,72,4,4,4,2,8,2,1
1,70,3,4,5,2,1,2,0
1,75,3,3,5,3,4,2,0
1,24,3,5,4,1,4,0,1
1,39,4,3,5,1,11,0,0
1,55,4,4,2,2,4,0,1
1,67,1,3,2,4,11,0,0
1,37,4,4,4,4,6,0,0
1,51,3,3,4,1,6,2,1
0,79,2,3,2,4,5,0,0
1,65,4,4,4,2,4,2,0
